CH_TIMESTAMP,CH_SYMBOL,CH_SERIES,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL
2023-12-14,ASIANPAINT,EQ,3258.6,3218.0,3255.0,3241.35,923107,2988496890.3
2023-12-13,ASIANPAINT,EQ,3254.95,3190.3,3240.0,3243.65,1052079,3389223419.7
2023-12-12,ASIANPAINT,EQ,3257.05,3210.0,3228.0,3224.75,1019030,3293219184.2
2023-12-11,ASIANPAINT,EQ,3245.0,3185.5,3230.0,3233.0,910426,2923149196.6
2023-12-08,ASIANPAINT,EQ,3269.8,3227.8,3255.0,3232.0,895852,2903535270.85
2023-12-07,ASIANPAINT,EQ,3299.95,3246.85,3284.0,3251.8,1071725,3501675559.25
2023-12-06,ASIANPAINT,EQ,3289.0,3232.95,3265.0,3252.55,1229158,4014589483.95
2023-12-05,ASIANPAINT,EQ,3247.65,3180.0,3197.0,3226.25,1005550,3235377814.6
2023-12-04,ASIANPAINT,EQ,3204.45,3166.5,3190.0,3194.55,1018189,3244352091.95
2023-12-01,ASIANPAINT,EQ,3190.6,3140.25,3146.95,3173.4,960196,3043767709.25
2023-11-30,ASIANPAINT,EQ,3153.95,3108.35,3148.35,3119.9,1793116,5601766269.5
2023-11-29,ASIANPAINT,EQ,3170.0,3142.0,3148.35,3148.35,620725,1960680377.4
2023-11-28,ASIANPAINT,EQ,3160.0,3136.15,3141.15,3148.35,647883,2040837993.45
2023-11-24,ASIANPAINT,EQ,3139.8,3111.0,3118.0,3136.15,756329,2364699220.4
2023-11-23,ASIANPAINT,EQ,3171.4,3115.15,3148.0,3122.95,792460,2487557657.05
2023-11-22,ASIANPAINT,EQ,3157.0,3121.2,3140.0,3133.0,489889,1537931540.4
2023-11-21,ASIANPAINT,EQ,3156.9,3127.0,3156.9,3133.25,409069,1282813126.2
2023-11-20,ASIANPAINT,EQ,3171.9,3132.0,3168.9,3140.35,406431,1278869993.5
2023-11-17,ASIANPAINT,EQ,3228.25,3145.65,3150.0,3168.9,1430175,4572143138.9
2023-11-16,ASIANPAINT,EQ,3140.9,3097.6,3119.0,3130.3,675454,2111463858.05
2023-11-15,ASIANPAINT,EQ,3118.85,3078.7,3085.7,3116.2,700017,2170906897.2
2023-11-13,ASIANPAINT,EQ,3098.0,3065.0,3098.0,3085.6,405941,1250134113.5
2023-11-12,ASIANPAINT,EQ,3100.0,3090.0,3099.95,3098.15,85178,263874727.45
2023-11-10,ASIANPAINT,EQ,3085.0,3040.1,3070.0,3076.45,364232,1115647633.35
2023-11-09,ASIANPAINT,EQ,3111.4,3074.05,3100.0,3080.2,849702,2627643628.1
2023-11-08,ASIANPAINT,EQ,3098.95,3046.2,3058.0,3095.25,783400,2414188986.5
2023-11-07,ASIANPAINT,EQ,3038.95,3002.2,3029.3,3033.35,757998,2291279142.5
2023-11-06,ASIANPAINT,EQ,3034.05,2983.85,2998.0,3029.3,620959,1871838596.55
2023-11-03,ASIANPAINT,EQ,2982.9,2942.0,2957.0,2977.85,715997,2126441016.75
2023-11-02,ASIANPAINT,EQ,2962.0,2934.0,2961.05,2955.4,900125,2654401760.7
2023-11-01,ASIANPAINT,EQ,3008.9,2930.0,2997.95,2934.55,1029990,3043165462.15
2023-10-31,ASIANPAINT,EQ,3012.75,2966.0,2969.0,2995.7,1152306,3451054390.8
2023-10-30,ASIANPAINT,EQ,2991.95,2939.1,2974.0,2967.1,878885,2607159628.5
2023-10-27,ASIANPAINT,EQ,2974.65,2931.0,2932.8,2955.15,1708185,5047160433.3
2023-10-26,ASIANPAINT,EQ,3055.0,2940.0,3051.1,2960.3,1834111,5475510150.55
2023-10-25,ASIANPAINT,EQ,3108.0,3052.0,3093.4,3060.8,669290,2062523283.25
2023-10-23,ASIANPAINT,EQ,3108.9,3064.0,3096.05,3072.0,374476,1157490160.85
2023-10-20,ASIANPAINT,EQ,3115.1,3064.55,3092.5,3105.85,711434,2204334814.9
2023-10-19,ASIANPAINT,EQ,3110.9,3076.1,3087.7,3101.8,568124,1758727731.4
2023-10-18,ASIANPAINT,EQ,3115.2,3090.0,3110.0,3096.45,481985,1496344917.95
2023-10-17,ASIANPAINT,EQ,3137.0,3091.8,3137.0,3113.55,792640,2465856469.75
2023-10-16,ASIANPAINT,EQ,3128.0,3096.1,3124.0,3112.05,853011,2655758018.2
2023-10-13,ASIANPAINT,EQ,3172.0,3128.25,3150.0,3148.8,854688,2689927266.85
2023-10-12,ASIANPAINT,EQ,3188.5,3150.05,3186.0,3159.1,992531,3135431725.45
2023-10-11,ASIANPAINT,EQ,3185.0,3152.05,3169.0,3163.9,1025317,3247876025.65
2023-10-10,ASIANPAINT,EQ,3164.9,3140.05,3150.0,3151.5,847367,2669464652.25
2023-10-09,ASIANPAINT,EQ,3163.0,3132.7,3140.05,3152.8,700012,2207025609.45
2023-10-06,ASIANPAINT,EQ,3217.0,3190.0,3214.75,3195.75,814257,2605977189.8
2023-10-05,ASIANPAINT,EQ,3232.1,3174.3,3210.0,3206.25,1002610,3208506367.0
2023-10-04,ASIANPAINT,EQ,3189.0,3151.35,3164.95,3169.9,892584,2831132462.65
2023-10-03,ASIANPAINT,EQ,3227.8,3162.0,3166.1,3166.85,1219145,3887155363.7
