CH_TIMESTAMP,CH_SYMBOL,CH_SERIES,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL
2023-12-14,TATASTEEL,EQ,133.25,131.5,132.3,132.0,43372143,5739357415.2
2023-12-13,TATASTEEL,EQ,131.5,129.15,130.55,131.4,22767972,2973183996.2
2023-12-12,TATASTEEL,EQ,132.15,129.7,130.05,130.1,30696410,4017198896.85
2023-12-11,TATASTEEL,EQ,130.5,128.75,129.85,130.05,24038059,3120531964.3
2023-12-08,TATASTEEL,EQ,131.4,127.95,130.15,129.2,34393711,4459353470.85
2023-12-07,TATASTEEL,EQ,132.2,129.8,131.7,130.0,34686333,4527001638.35
2023-12-06,TATASTEEL,EQ,133.4,130.8,132.5,131.85,40753593,5379558472.95
2023-12-05,TATASTEEL,EQ,132.45,130.0,131.0,131.6,35192149,4623385317.75
2023-12-04,TATASTEEL,EQ,132.35,130.4,132.2,131.0,41230928,5404051813.1
2023-12-01,TATASTEEL,EQ,130.3,128.05,128.9,130.0,31192397,4036476816.0
2023-11-30,TATASTEEL,EQ,128.85,126.5,127.8,127.9,40165104,5139985066.5
2023-11-29,TATASTEEL,EQ,128.15,126.7,127.15,127.75,23092165,2946445299.55
2023-11-28,TATASTEEL,EQ,127.0,126.0,127.0,126.85,18377843,2324566454.85
2023-11-24,TATASTEEL,EQ,127.0,125.55,126.7,125.95,14719450,1856793943.75
2023-11-23,TATASTEEL,EQ,127.4,125.9,126.35,126.7,30736851,3896787469.35
2023-11-22,TATASTEEL,EQ,126.9,125.5,126.4,126.1,19588063,2470314487.15
2023-11-21,TATASTEEL,EQ,126.4,124.95,125.05,126.25,29643312,3733534250.25
2023-11-20,TATASTEEL,EQ,125.65,124.05,125.05,124.35,18780290,2345428249.95
2023-11-17,TATASTEEL,EQ,125.75,124.3,124.7,125.2,23319439,2918581820.75
2023-11-16,TATASTEEL,EQ,125.25,123.0,124.0,124.7,30836413,3838518574.75
2023-11-15,TATASTEEL,EQ,124.4,121.5,121.7,124.05,38344393,4730975784.75
2023-11-13,TATASTEEL,EQ,121.25,119.9,120.85,121.0,17951775,2167412969.4
2023-11-12,TATASTEEL,EQ,121.6,120.6,121.6,120.85,3984034,481733972.85
2023-11-10,TATASTEEL,EQ,120.45,118.8,119.5,120.05,23584510,2825663511.45
2023-11-09,TATASTEEL,EQ,120.5,118.85,119.2,119.65,22979112,2750517129.7
2023-11-08,TATASTEEL,EQ,120.5,118.55,119.75,119.05,22552386,2686143473.1
2023-11-07,TATASTEEL,EQ,120.2,118.4,119.3,119.65,25818033,3088435269.9
2023-11-06,TATASTEEL,EQ,119.65,117.5,118.5,119.4,27883152,3307444876.55
2023-11-03,TATASTEEL,EQ,118.6,117.1,118.2,117.3,31747230,3737515379.95
2023-11-02,TATASTEEL,EQ,118.55,114.6,114.6,118.1,72538804,8465495277.35
2023-11-01,TATASTEEL,EQ,119.1,116.0,119.0,116.6,24717941,2911236884.9
2023-10-31,TATASTEEL,EQ,120.15,118.4,120.0,118.75,22319950,2656447467.15
2023-10-30,TATASTEEL,EQ,121.25,118.95,121.05,119.15,18753217,2238532926.65
2023-10-27,TATASTEEL,EQ,121.8,119.5,120.5,119.9,28424007,3420565260.8
2023-10-26,TATASTEEL,EQ,120.9,118.9,120.85,119.9,36298907,4348929304.25
2023-10-25,TATASTEEL,EQ,122.8,120.75,121.2,121.35,27346103,3330569435.45
2023-10-23,TATASTEEL,EQ,123.4,119.7,123.35,120.0,30699479,3713736345.95
2023-10-20,TATASTEEL,EQ,125.75,122.7,125.0,123.1,30746140,3812744831.35
2023-10-19,TATASTEEL,EQ,126.5,124.35,125.5,126.0,30941319,3881944628.55
2023-10-18,TATASTEEL,EQ,128.7,126.6,127.85,127.1,20926079,2666501947.15
2023-10-17,TATASTEEL,EQ,128.55,127.0,127.9,127.4,24241710,3100588399.8
2023-10-16,TATASTEEL,EQ,127.25,124.95,125.1,127.0,23868700,3019547026.8
2023-10-13,TATASTEEL,EQ,125.75,124.0,125.0,125.05,26912800,3362090989.25
