Date,Open,High,Low,Close,Volume
2013-12-02,,,,,
2013-12-03,,,,,
2013-12-04,,,,,
2013-12-05,,,,,
2013-12-06,,,,,
2013-12-09,,,,,
2013-12-10,,,,,
2013-12-11,,,,,
2013-12-12,,,,,
2013-12-13,,,,,
2013-12-16,,,,,
2013-12-17,,,,,
2013-12-18,,,,,
2013-12-19,,,,,
2013-12-20,,,,,
2013-12-23,,,,,
2013-12-24,,,,,
2013-12-26,,,,,
2013-12-27,,,,,
2013-12-30,,,,,
2013-12-31,,,,,
2014-01-01,,,,,
2014-01-02,,,,,
2014-01-03,,,,,
2014-01-06,,,,,
2014-01-07,,,,,
2014-01-08,,,,,
2014-01-09,,,,,
2014-01-10,,,,,
2014-01-13,,,,,
2014-01-14,,,,,
2014-01-15,,,,,
2014-01-16,,,,,
2014-01-17,,,,,
2014-01-20,,,,,
2014-01-21,,,,,
2014-01-22,,,,,
2014-01-23,,,,,
2014-01-24,,,,,
2014-01-27,,,,,
2014-01-28,,,,,
2014-01-29,,,,,
2014-01-30,,,,,
2014-01-31,,,,,
2014-02-03,,,,,
2014-02-04,,,,,
2014-02-05,,,,,
2014-02-06,,,,,
2014-02-07,,,,,
2014-02-10,,,,,
2014-02-11,,,,,
2014-02-12,,,,,
2014-02-13,,,,,
2014-02-14,,,,,
2014-02-17,,,,,
2014-02-18,,,,,
2014-02-19,,,,,
2014-02-20,,,,,
2014-02-21,,,,,
2014-02-24,,,,,
2014-02-25,,,,,
2014-02-26,6.329999923706055,6.329999923706055,6.329999923706055,6.329999923706055,1.0
2014-02-27,,,,,
2014-02-28,,,,,
2014-03-03,,,,,
2014-03-04,,,,,
2014-03-05,,,,,
2014-03-06,,,,,
2014-03-07,,,,,
2014-03-10,,,,,
2014-03-11,,,,,
2014-03-12,,,,,
2014-03-13,,,,,
2014-03-14,,,,,
2014-03-17,,,,,
2014-03-18,,,,,
2014-03-19,,,,,
2014-03-20,,,,,
2014-03-21,,,,,
2014-03-22,,,,,
2014-03-24,,,,,
2014-03-25,,,,,
2014-03-26,,,,,
2014-03-27,,,,,
2014-03-28,,,,,
2014-03-31,,,,,
2014-04-01,,,,,
2014-04-02,,,,,
2014-04-03,,,,,
2014-04-04,,,,,
2014-04-07,,,,,
2014-04-08,,,,,
2014-04-09,,,,,
2014-04-10,,,,,
2014-04-11,,,,,
2014-04-14,,,,,
2014-04-15,,,,,
2014-04-16,,,,,
2014-04-17,6.019999980926514,6.019999980926514,6.019999980926514,6.019999980926514,9.0
2014-04-21,,,,,
2014-04-22,,,,,
2014-04-23,,,,,
2014-04-24,,,,,
2014-04-25,,,,,
2014-04-28,,,,,
2014-04-29,,,,,
2014-04-30,,,,,
2014-05-01,,,,,
2014-05-02,,,,,
2014-05-05,,,,,
2014-05-06,,,,,
2014-05-07,,,,,
2014-05-08,,,,,
2014-05-09,,,,,
2014-05-12,,,,,
2014-05-13,,,,,
2014-05-14,,,,,
2014-05-15,,,,,
2014-05-16,,,,,
2014-05-19,,,,,
2014-05-20,,,,,
2014-05-21,,,,,
2014-05-22,,,,,
2014-05-23,,,,,
2014-05-26,,,,,
2014-05-27,,,,,
2014-05-28,,,,,
2014-05-29,,,,,
2014-05-30,,,,,
2014-06-02,6.199999809265137,6.309999942779541,6.199999809265137,6.300000190734863,901.0
2014-06-03,5.989999771118164,5.989999771118164,5.989999771118164,5.989999771118164,380.0
2014-06-04,,,,,
2014-06-05,,,,,
2014-06-06,,,,,
2014-06-09,6.28000020980835,6.28000020980835,6.28000020980835,6.28000020980835,50.0
2014-06-10,6.590000152587891,6.590000152587891,6.590000152587891,6.590000152587891,50.0
2014-06-11,,,,,
2014-06-12,6.269999980926514,6.909999847412109,6.269999980926514,6.909999847412109,2510.0
2014-06-13,6.570000171661377,6.570000171661377,6.570000171661377,6.570000171661377,3500.0
2014-06-16,,,,,
2014-06-17,,,,,
2014-06-18,,,,,
2014-06-19,6.880000114440918,6.880000114440918,6.880000114440918,6.880000114440918,10.0
2014-06-20,,,,,
2014-06-23,6.550000190734863,7.150000095367432,6.550000190734863,7.150000095367432,205.0
2014-06-24,7.480000019073486,7.480000019073486,7.480000019073486,7.480000019073486,5.0
2014-06-25,7.110000133514404,7.130000114440918,7.110000133514404,7.130000114440918,1200.0
2014-06-26,6.78000020980835,6.78000020980835,6.78000020980835,6.78000020980835,100.0
2014-06-27,6.449999809265137,6.449999809265137,6.449999809265137,6.449999809265137,100.0
2014-06-30,,,,,
2014-07-01,6.769999980926514,6.769999980926514,6.130000114440918,6.130000114440918,3100.0
2014-07-02,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,200.0
2014-07-03,6.699999809265137,6.71999979019165,6.699999809265137,6.71999979019165,385.0
2014-07-04,7.039999961853027,7.039999961853027,7.039999961853027,7.039999961853027,3600.0
2014-07-07,7.380000114440918,7.380000114440918,7.380000114440918,7.380000114440918,100.0
2014-07-08,,,,,
2014-07-09,7.699999809265137,7.739999771118164,7.699999809265137,7.739999771118164,796.0
2014-07-10,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,1.0
2014-07-11,,,,,
2014-07-14,8.199999809265137,8.460000038146973,8.199999809265137,8.460000038146973,2.0
2014-07-15,8.5,8.5,8.239999771118164,8.239999771118164,2.0
2014-07-16,7.829999923706055,8.300000190734863,7.829999923706055,8.25,466.0
2014-07-17,8.399999618530273,8.399999618530273,8.380000114440918,8.380000114440918,2.0
2014-07-18,8.5,8.5,7.96999979019165,8.479999542236328,4.0
2014-07-21,,,,,
2014-07-22,,,,,
2014-07-23,,,,,
2014-07-24,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,1500.0
2014-07-25,8.399999618530273,8.399999618530273,7.659999847412109,7.659999847412109,101.0
2014-07-28,7.28000020980835,7.28000020980835,7.28000020980835,7.28000020980835,226.0
2014-07-29,,,,,
2014-07-30,,,,,
2014-07-31,6.920000076293945,7.590000152587891,6.920000076293945,7.590000152587891,595.0
2014-08-01,7.599999904632568,7.800000190734863,7.21999979019165,7.800000190734863,201.0
2014-08-04,7.989999771118164,7.989999771118164,7.989999771118164,7.989999771118164,1.0
2014-08-05,8.1899995803833,8.199999809265137,8.1899995803833,8.199999809265137,3.0
2014-08-06,,,,,
2014-08-07,,,,,
2014-08-08,,,,,
2014-08-11,,,,,
2014-08-12,,,,,
2014-08-13,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,2.0
2014-08-14,,,,,
2014-08-15,,,,,
2014-08-18,,,,,
2014-08-19,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,2.0
2014-08-20,,,,,
2014-08-21,,,,,
2014-08-22,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,33.0
2014-08-25,8.5,8.5,7.980000019073486,7.980000019073486,1052.0
2014-08-26,8.300000190734863,8.300000190734863,8.199999809265137,8.199999809265137,2.0
2014-08-27,,,,,
2014-08-28,,,,,
2014-08-29,,,,,
2014-09-01,,,,,
2014-09-02,,,,,
2014-09-03,,,,,
2014-09-04,,,,,
2014-09-05,7.789999961853027,7.789999961853027,7.789999961853027,7.789999961853027,201.0
2014-09-08,7.409999847412109,7.989999771118164,7.409999847412109,7.409999847412109,3302.0
2014-09-09,7.039999961853027,7.039999961853027,7.039999961853027,7.039999961853027,302.0
2014-09-10,7.349999904632568,7.349999904632568,6.710000038146973,6.710000038146973,201.0
2014-09-11,6.989999771118164,7.0,6.989999771118164,6.989999771118164,1965.0
2014-09-12,7.25,7.25,6.699999809265137,7.199999809265137,405.0
2014-09-15,7.550000190734863,7.550000190734863,6.840000152587891,6.840000152587891,2015.0
2014-09-16,6.5,6.989999771118164,6.5,6.989999771118164,320.0
2014-09-17,6.659999847412109,7.150000095367432,6.659999847412109,7.150000095367432,107.0
2014-09-18,7.0,7.449999809265137,6.800000190734863,7.329999923706055,4290.0
2014-09-19,7.300000190734863,7.5,7.300000190734863,7.5,205.0
2014-09-22,7.599999904632568,7.849999904632568,7.130000114440918,7.800000190734863,2331.0
2014-09-23,7.800000190734863,8.079999923706055,7.420000076293945,8.0,470.0
2014-09-24,8.0,8.0,7.989999771118164,7.989999771118164,20.0
2014-09-25,8.199999809265137,8.199999809265137,8.0,8.1899995803833,1060.0
