Date,Open,High,Low,Close,Volume
2013-12-02,74.0,74.0,74.0,74.0,0.0
2013-12-03,74.0,74.0,74.0,74.0,0.0
2013-12-04,74.0,74.0,74.0,74.0,0.0
2013-12-05,74.0,74.0,74.0,74.0,0.0
2013-12-06,74.0,74.0,74.0,74.0,0.0
2013-12-09,74.0,74.0,74.0,74.0,0.0
2013-12-10,74.0,74.0,74.0,74.0,0.0
2013-12-11,74.0,74.0,74.0,74.0,0.0
2013-12-12,74.0,74.0,74.0,74.0,0.0
2013-12-13,74.0,74.0,74.0,74.0,0.0
2013-12-16,74.0,74.0,74.0,74.0,0.0
2013-12-17,74.0,74.0,74.0,74.0,0.0
2013-12-18,74.0,74.0,74.0,74.0,0.0
2013-12-19,74.0,74.0,74.0,74.0,0.0
2013-12-20,74.0,74.0,74.0,74.0,0.0
2013-12-23,74.0,74.0,74.0,74.0,0.0
2013-12-24,74.0,74.0,74.0,74.0,0.0
2013-12-26,74.0,74.0,74.0,74.0,0.0
2013-12-27,74.0,74.0,74.0,74.0,0.0
2013-12-30,74.0,74.0,74.0,74.0,0.0
2013-12-31,74.0,74.0,74.0,74.0,0.0
2014-01-01,74.0,74.0,74.0,74.0,0.0
2014-01-02,74.0,74.0,74.0,74.0,0.0
2014-01-03,74.0,74.0,74.0,74.0,0.0
2014-01-06,74.0,74.0,74.0,74.0,0.0
2014-01-07,74.0,74.0,74.0,74.0,0.0
2014-01-08,74.0,74.0,74.0,74.0,0.0
2014-01-09,74.0,74.0,74.0,74.0,0.0
2014-01-10,74.0,74.0,74.0,74.0,0.0
2014-01-13,74.0,74.0,74.0,74.0,0.0
2014-01-14,74.0,74.0,74.0,74.0,0.0
2014-01-15,74.0,74.0,74.0,74.0,0.0
2014-01-16,74.0,74.0,74.0,74.0,0.0
2014-01-17,74.0,74.0,74.0,74.0,0.0
2014-01-20,74.0,74.0,74.0,74.0,0.0
2014-01-21,74.0,74.0,74.0,74.0,0.0
2014-01-22,74.0,74.0,74.0,74.0,0.0
2014-01-23,74.0,74.0,74.0,74.0,0.0
2014-01-24,74.0,74.0,74.0,74.0,0.0
2014-01-27,74.0,74.0,74.0,74.0,0.0
2014-01-28,74.0,74.0,74.0,74.0,0.0
2014-01-29,74.0,74.0,74.0,74.0,0.0
2014-01-30,74.0,74.0,74.0,74.0,0.0
2014-01-31,74.0,74.0,74.0,74.0,0.0
2014-02-03,74.0,74.0,74.0,74.0,0.0
2014-02-04,74.0,74.0,74.0,74.0,0.0
2014-02-05,74.0,74.0,74.0,74.0,0.0
2014-02-06,74.0,74.0,74.0,74.0,0.0
2014-02-07,74.0,74.0,74.0,74.0,0.0
2014-02-10,74.0,74.0,74.0,74.0,0.0
2014-02-11,74.0,74.0,74.0,74.0,0.0
2014-02-12,74.0,74.0,74.0,74.0,0.0
2014-02-13,74.0,74.0,74.0,74.0,0.0
2014-02-14,74.0,74.0,74.0,74.0,0.0
2014-02-17,74.0,74.0,74.0,74.0,0.0
2014-02-18,74.0,74.0,74.0,74.0,0.0
2014-02-19,74.0,74.0,74.0,74.0,0.0
2014-02-20,74.0,74.0,74.0,74.0,0.0
2014-02-21,74.0,74.0,74.0,74.0,0.0
2014-02-24,74.0,74.0,74.0,74.0,0.0
2014-02-25,74.0,74.0,74.0,74.0,0.0
2014-02-26,74.0,74.0,74.0,74.0,0.0
2014-02-27,,,,,
2014-02-28,74.0,74.0,74.0,74.0,0.0
2014-03-03,74.0,74.0,74.0,74.0,0.0
2014-03-04,74.0,74.0,74.0,74.0,0.0
2014-03-05,74.0,74.0,74.0,74.0,0.0
