Date,Open,High,Low,Close,Volume
2013-12-02,191.10000610351562,191.10000610351562,191.10000610351562,191.10000610351562,0.0
2013-12-03,200.64999389648438,200.64999389648438,195.10000610351562,195.10000610351562,150.0
2013-12-04,196.0,198.0,196.0,198.0,252.0
2013-12-05,192.0,192.0,192.0,192.0,25.0
2013-12-06,201.0,201.0,201.0,201.0,35.0
2013-12-09,201.0,201.0,200.0,200.0,151.0
2013-12-10,200.0,200.0,200.0,200.0,87.0
2013-12-11,205.0,205.0,205.0,205.0,5.0
2013-12-12,200.0,200.0,200.0,200.0,300.0
2013-12-13,200.0,200.0,200.0,200.0,0.0
2013-12-16,200.0,200.0,200.0,200.0,0.0
2013-12-17,204.0,205.85000610351562,198.5500030517578,198.5500030517578,326.0
2013-12-18,202.0,202.0,202.0,202.0,20.0
2013-12-19,196.0,196.25,196.0,196.25,127.0
2013-12-20,195.0,196.0,195.0,196.0,160.0
2013-12-23,196.0,196.0,196.0,196.0,0.0
2013-12-24,197.0,197.0,197.0,197.0,7.0
2013-12-26,205.0,206.85000610351562,205.0,206.85000610351562,856.0
2013-12-27,206.75,206.75,205.1999969482422,205.1999969482422,75.0
2013-12-30,201.6999969482422,212.0,201.0,212.0,63.0
2013-12-31,206.0,206.0,206.0,206.0,5.0
2014-01-01,206.0,206.0,206.0,206.0,0.0
2014-01-02,210.0,210.0,210.0,210.0,59.0
2014-01-03,209.0,209.0,209.0,209.0,150.0
2014-01-06,215.85000610351562,215.85000610351562,209.0,209.0,2.0
2014-01-07,215.0,215.0,215.0,215.0,25.0
2014-01-08,215.0,222.9499969482422,215.0,222.9499969482422,327.0
2014-01-09,217.0,217.0,217.0,217.0,77.0
2014-01-10,217.0,217.89999389648438,217.0,217.89999389648438,84.0
2014-01-13,220.0,226.0,220.0,224.4499969482422,527.0
2014-01-14,234.89999389648438,234.89999389648438,220.0,220.0,223.0
2014-01-15,222.0,222.0,222.0,222.0,50.0
2014-01-16,227.0,227.0,220.0,223.0,8.0
2014-01-17,223.0,225.0,216.0500030517578,224.3000030517578,267.0
2014-01-20,224.3000030517578,224.3000030517578,224.3000030517578,224.3000030517578,0.0
2014-01-21,225.0,225.0,216.5,224.75,1220.0
2014-01-22,225.0,231.0,222.0,222.0,1550.0
2014-01-23,220.3000030517578,232.75,216.8000030517578,226.4499969482422,821.0
2014-01-24,219.0,220.0,219.0,220.0,120.0
2014-01-27,220.0,220.0,220.0,220.0,0.0
2014-01-28,217.89999389648438,218.6999969482422,217.89999389648438,218.6999969482422,80.0
2014-01-29,212.1999969482422,217.0,212.0,212.0,158.0
2014-01-30,207.35000610351562,215.0,207.3000030517578,215.0,107.0
2014-01-31,215.0,215.0,215.0,215.0,0.0
2014-02-03,214.89999389648438,214.89999389648438,214.8000030517578,214.8000030517578,64.0
2014-02-04,207.0,213.5,207.0,213.5,13.0
2014-02-05,214.0,214.0,207.3000030517578,207.64999389648438,92.0
2014-02-06,214.0,218.0,214.0,217.35000610351562,392.0
2014-02-07,220.5,221.0,220.5,221.0,200.0
2014-02-10,215.0,215.0,215.0,215.0,20.0
2014-02-11,213.5,225.0,213.5,221.75,42.0
2014-02-12,215.1999969482422,221.0,215.10000610351562,221.0,573.0
2014-02-13,211.10000610351562,215.0500030517578,210.0,212.0,1194.0
2014-02-14,212.0500030517578,214.8000030517578,208.0,208.0,109.0
2014-02-17,208.0,208.0,200.0,200.4499969482422,1149.0
2014-02-18,198.0,200.0,198.0,200.0,2138.0
2014-02-19,200.0,200.0,200.0,200.0,0.0
2014-02-20,200.0500030517578,200.0500030517578,195.0,195.64999389648438,41.0
2014-02-21,196.0,205.0,196.0,201.0,88.0
2014-02-24,203.0,203.0,197.25,200.0,109.0
2014-02-25,209.0,209.0,199.89999389648438,200.0,1004.0
2014-02-26,198.0500030517578,205.0,198.0500030517578,200.10000610351562,1349.0
2014-02-27,,,,,
2014-02-28,205.0,205.0,200.0,200.1999969482422,1540.0
2014-03-03,198.0,204.89999389648438,198.0,204.10000610351562,336.0
2014-03-04,199.0500030517578,207.8000030517578,199.0500030517578,204.5,247.0
2014-03-05,202.0,209.0,200.0,208.6999969482422,686.0
2014-03-06,204.0,219.0,204.0,218.89999389648438,695.0
2014-03-07,213.5,224.0,213.5,224.0,518.0
2014-03-10,225.0,238.8000030517578,223.0500030517578,236.0,1101.0
2014-03-11,231.0,242.0,227.5,230.0,766.0
2014-03-12,216.75,248.0,216.75,232.5,1133.0
2014-03-13,232.0,235.0,232.0,235.0,250.0
2014-03-14,231.0,233.9499969482422,225.0,228.0,1071.0
2014-03-17,,,,,
2014-03-18,225.0,228.0,225.0,225.0500030517578,914.0
2014-03-19,220.3000030517578,228.0,220.3000030517578,222.35000610351562,206.0
2014-03-20,224.0,224.0,224.0,224.0,15.0
2014-03-21,224.0,225.0,217.5,217.5500030517578,1378.0
2014-03-22,,,,,
2014-03-24,227.89999389648438,227.89999389648438,214.89999389648438,223.0,620.0
2014-03-25,222.0,226.4499969482422,216.5,216.5,241.0
2014-03-26,223.0,223.0,218.0,218.0,127.0
2014-03-27,223.9499969482422,225.0,221.0,221.0,475.0
2014-03-28,220.25,225.0,220.25,225.0,100.0
2014-03-31,231.5,232.9499969482422,231.5,232.9499969482422,50.0
2014-04-01,230.0,235.0,222.10000610351562,224.0,340.0
2014-04-02,225.0,230.0,225.0,226.0,80.0
2014-04-03,222.14999389648438,222.14999389648438,222.14999389648438,222.14999389648438,10.0
2014-04-04,233.89999389648438,234.0,233.0,233.0,217.0
2014-04-07,233.89999389648438,240.0,232.0,234.89999389648438,235.0
2014-04-08,,,,,
2014-04-09,231.5,231.5,231.0,231.0,150.0
2014-04-10,233.0,233.0,224.10000610351562,229.9499969482422,361.0
2014-04-11,225.0500030517578,235.0,225.0500030517578,234.9499969482422,422.0
2014-04-14,,,,,
2014-04-15,237.9499969482422,238.0,225.10000610351562,234.5,605.0
2014-04-16,227.10000610351562,227.14999389648438,227.10000610351562,227.14999389648438,30.0
2014-04-17,231.9499969482422,231.9499969482422,227.0,227.0,149.0
2014-04-21,237.9499969482422,237.9499969482422,227.5,228.25,633.0
2014-04-22,235.0,235.0,233.0,235.0,160.0
2014-04-23,232.0,235.0,232.0,235.0,263.0
2014-04-24,235.0,235.0,235.0,235.0,0.0
2014-04-25,232.0500030517578,232.0500030517578,226.0,226.0,865.0
2014-04-28,225.0,225.0,223.0,223.0500030517578,100.0
2014-04-29,231.9499969482422,235.9499969482422,231.9499969482422,235.0,1501.0
2014-04-30,225.5,225.5,219.0,219.6999969482422,210.0
2014-05-01,,,,,
2014-05-02,226.89999389648438,226.9499969482422,208.0500030517578,208.60000610351562,2105.0
2014-05-05,213.8000030517578,213.8000030517578,204.5500030517578,204.60000610351562,1770.0
2014-05-06,205.0,207.0,205.0,205.4499969482422,990.0
2014-05-07,209.64999389648438,209.64999389648438,202.3000030517578,205.75,266.0
2014-05-08,204.8000030517578,205.9499969482422,204.8000030517578,205.9499969482422,38.0
2014-05-09,208.0,208.8000030517578,206.9499969482422,207.25,1010.0
2014-05-12,208.0,216.9499969482422,205.10000610351562,206.75,280.0
2014-05-13,205.5,214.89999389648438,205.5,205.5500030517578,310.0
2014-05-14,205.6999969482422,210.9499969482422,205.6999969482422,210.0,1101.0
2014-05-15,210.0,210.0,208.0,208.25,203.0
2014-05-16,214.75,216.8000030517578,206.0500030517578,210.14999389648438,1018.0
2014-05-19,210.10000610351562,218.0,209.0500030517578,217.3000030517578,1715.0
2014-05-20,220.0,239.9499969482422,220.0,237.5500030517578,4005.0
2014-05-21,233.0,237.5500030517578,233.0,237.0,274.0
2014-05-22,242.0,257.70001220703125,238.0,245.85000610351562,10305.0
2014-05-23,245.0,255.0,244.0,252.85000610351562,2334.0
2014-05-26,252.85000610351562,260.0,246.14999389648438,247.0,1626.0
2014-05-27,242.9499969482422,242.9499969482422,238.0,239.0,1202.0
2014-05-28,248.0,250.0,238.0,238.0,1491.0
2014-05-29,240.0,240.0,235.0,235.0,247.0
2014-05-30,232.0,240.0,231.0500030517578,235.6999969482422,140.0
2014-06-02,234.0,240.0,233.0,240.0,345.0
2014-06-03,242.5,242.5,242.5,242.5,21.0
2014-06-04,238.5,252.0,238.5,249.89999389648438,3542.0
2014-06-05,244.0,250.0,244.0,250.0,234.0
2014-06-06,255.0,260.0,249.0,249.0,1469.0
