Date,Open,High,Low,Close,Volume
2013-12-02,,,,,
2013-12-03,,,,,
2013-12-04,,,,,
2013-12-05,,,,,
2013-12-06,,,,,
2013-12-09,,,,,
2013-12-10,,,,,
2013-12-11,,,,,
2013-12-12,,,,,
2013-12-13,,,,,
2013-12-16,,,,,
2013-12-17,,,,,
2013-12-18,,,,,
2013-12-19,,,,,
2013-12-20,,,,,
2013-12-23,,,,,
2013-12-24,,,,,
2013-12-26,,,,,
2013-12-27,,,,,
2013-12-30,,,,,
2013-12-31,,,,,
2014-01-01,,,,,
2014-01-02,,,,,
2014-01-03,,,,,
2014-01-06,,,,,
2014-01-07,,,,,
2014-01-08,,,,,
2014-01-09,,,,,
2014-01-10,,,,,
2014-01-13,,,,,
2014-01-14,,,,,
2014-01-15,,,,,
2014-01-16,,,,,
2014-01-17,,,,,
2014-01-20,,,,,
2014-01-21,,,,,
2014-01-22,,,,,
2014-01-23,,,,,
2014-01-24,,,,,
2014-01-27,,,,,
2014-01-28,,,,,
2014-01-29,,,,,
2014-01-30,,,,,
2014-01-31,,,,,
2014-02-03,,,,,
2014-02-04,,,,,
2014-02-05,,,,,
2014-02-06,,,,,
2014-02-07,,,,,
2014-02-10,,,,,
2014-02-11,,,,,
2014-02-12,,,,,
2014-02-13,,,,,
2014-02-14,,,,,
2014-02-17,,,,,
2014-02-18,,,,,
2014-02-19,,,,,
2014-02-20,,,,,
2014-02-21,,,,,
2014-02-24,,,,,
2014-02-25,,,,,
2014-02-26,,,,,
2014-02-27,,,,,
2014-02-28,,,,,
2014-03-03,,,,,
2014-03-04,,,,,
2014-03-05,,,,,
2014-03-06,,,,,
2014-03-07,,,,,
2014-03-10,,,,,
2014-03-11,,,,,
2014-03-12,,,,,
2014-03-13,,,,,
2014-03-14,,,,,
2014-03-17,,,,,
2014-03-18,,,,,
2014-03-19,,,,,
2014-03-20,,,,,
2014-03-21,,,,,
2014-03-22,,,,,
2014-03-24,,,,,
2014-03-25,,,,,
2014-03-26,,,,,
2014-03-27,,,,,
2014-03-28,,,,,
2014-03-31,,,,,
2014-04-01,,,,,
2014-04-02,,,,,
2014-04-03,,,,,
2014-04-04,,,,,
2014-04-07,,,,,
2014-04-08,,,,,
2014-04-09,,,,,
2014-04-10,,,,,
2014-04-11,,,,,
2014-04-14,,,,,
2014-04-15,,,,,
2014-04-16,,,,,
2014-04-17,,,,,
2014-04-21,,,,,
2014-04-22,,,,,
2014-04-23,,,,,
2014-04-24,,,,,
2014-04-25,,,,,
2014-04-28,,,,,
2014-04-29,,,,,
2014-04-30,,,,,
2014-05-01,,,,,
2014-05-02,,,,,
2014-05-05,,,,,
2014-05-06,,,,,
2014-05-07,,,,,
2014-05-08,,,,,
2014-05-09,,,,,
2014-05-12,,,,,
2014-05-13,,,,,
2014-05-14,,,,,
2014-05-15,,,,,
2014-05-16,,,,,
2014-05-19,,,,,
2014-05-20,,,,,
2014-05-21,,,,,
2014-05-22,,,,,
2014-05-23,,,,,
2014-05-26,,,,,
2014-05-27,,,,,
2014-05-28,,,,,
2014-05-29,,,,,
2014-05-30,,,,,
2014-06-02,,,,,
2014-06-03,,,,,
2014-06-04,,,,,
2014-06-05,,,,,
2014-06-06,,,,,
2014-06-09,,,,,
2014-06-10,,,,,
2014-06-11,,,,,
2014-06-12,,,,,
2014-06-13,,,,,
2014-06-16,,,,,
2014-06-17,,,,,
2014-06-18,,,,,
2014-06-19,,,,,
2014-06-20,,,,,
2014-06-23,,,,,
2014-06-24,,,,,
2014-06-25,,,,,
2014-06-26,,,,,
2014-06-27,,,,,
2014-06-30,,,,,
2014-07-01,,,,,
2014-07-02,,,,,
2014-07-03,,,,,
2014-07-04,,,,,
2014-07-07,,,,,
2014-07-08,,,,,
2014-07-09,,,,,
2014-07-10,,,,,
2014-07-11,,,,,
2014-07-14,,,,,
2014-07-15,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,39534.0
2014-07-16,25.2944278717041,25.2944278717041,25.2944278717041,25.2944278717041,4941.0
2014-07-17,24.88971519470215,25.2944278717041,24.88971519470215,25.092071533203125,29650.0
2014-07-18,25.17301368713379,25.17301368713379,25.17301368713379,25.17301368713379,4941.0
2014-07-21,24.88971519470215,24.88971519470215,24.88971519470215,24.88971519470215,4941.0
2014-07-22,25.17301368713379,25.17301368713379,24.687360763549805,24.687360763549805,9883.0
2014-07-23,24.687360763549805,24.687360763549805,24.687360763549805,24.687360763549805,0.0
2014-07-24,24.687360763549805,24.687360763549805,24.687360763549805,24.687360763549805,0.0
2014-07-25,24.88971519470215,24.88971519470215,24.88971519470215,24.88971519470215,4941.0
2014-07-28,24.88971519470215,24.88971519470215,24.88971519470215,24.88971519470215,0.0
2014-07-29,,,,,
2014-07-30,25.496782302856445,25.496782302856445,25.456310272216797,25.456310272216797,9883.0
2014-07-31,25.456310272216797,25.456310272216797,25.456310272216797,25.456310272216797,0.0
2014-08-01,25.456310272216797,25.456310272216797,25.456310272216797,25.456310272216797,0.0
2014-08-04,25.092071533203125,25.496782302856445,25.092071533203125,25.496782302856445,9883.0
2014-08-05,25.092071533203125,25.496782302856445,25.092071533203125,25.496782302856445,9883.0
2014-08-06,25.496782302856445,25.496782302856445,25.496782302856445,25.496782302856445,0.0
2014-08-07,25.496782302856445,25.496782302856445,25.496782302856445,25.496782302856445,0.0
2014-08-08,25.496782302856445,25.496782302856445,25.496782302856445,25.496782302856445,0.0
2014-08-11,25.496782302856445,25.496782302856445,25.496782302856445,25.496782302856445,0.0
2014-08-12,25.496782302856445,25.496782302856445,25.496782302856445,25.496782302856445,0.0
2014-08-13,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,4941.0
2014-08-14,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,0.0
2014-08-15,,,,,
2014-08-18,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,0.0
2014-08-19,24.485004425048828,24.525476455688477,24.485004425048828,24.525476455688477,182846.0
2014-08-20,24.525476455688477,24.525476455688477,24.525476455688477,24.525476455688477,0.0
2014-08-21,24.525476455688477,24.525476455688477,24.525476455688477,24.525476455688477,0.0
2014-08-22,25.901493072509766,25.901493072509766,25.901493072509766,25.901493072509766,4941.0
2014-08-25,25.901493072509766,25.901493072509766,25.901493072509766,25.901493072509766,0.0
2014-08-26,27.115625381469727,27.520336151123047,27.115625381469727,27.317981719970703,192730.0
2014-08-27,27.317981719970703,27.317981719970703,27.317981719970703,27.317981719970703,0.0
2014-08-28,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,4941.0
2014-08-29,,,,,
2014-09-01,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,0.0
2014-09-02,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,4941.0
2014-09-03,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,0.0
2014-09-04,25.092071533203125,25.092071533203125,25.092071533203125,25.092071533203125,0.0
2014-09-05,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,4941.0
2014-09-08,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-09,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-10,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-11,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-12,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-15,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-16,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-17,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-18,26.306203842163086,26.306203842163086,26.306203842163086,26.306203842163086,0.0
2014-09-19,27.115625381469727,27.115625381469727,26.710914611816406,26.710914611816406,9883.0
2014-09-22,26.710914611816406,26.710914611816406,26.710914611816406,26.710914611816406,0.0
2014-09-23,26.710914611816406,26.710914611816406,26.710914611816406,26.710914611816406,0.0
2014-09-24,26.79185676574707,26.79185676574707,26.79185676574707,26.79185676574707,4941.0
2014-09-25,26.710914611816406,26.710914611816406,26.710914611816406,26.710914611816406,4941.0
