Date,Open,High,Low,Close,Volume
2013-12-02,450.0,472.5,429.75,439.25,26365.0
2013-12-03,440.0,454.0,435.0,436.75,4641.0
2013-12-04,440.0,457.25,435.0,445.25,12223.0
2013-12-05,440.0,443.5,423.0,423.25,81466.0
2013-12-06,425.0,440.0,420.25,429.5,21556.0
2013-12-09,417.5,438.5,417.5,425.0,64509.0
2013-12-10,410.75,435.0,406.0,433.75,33555.0
2013-12-11,420.75,450.0,420.0,442.5,26062.0
2013-12-12,440.0,450.0,429.5,435.25,10724.0
2013-12-13,435.0,446.5,432.5,439.5,8380.0
2013-12-16,439.5,449.5,436.5,440.5,26155.0
2013-12-17,440.0,462.5,435.5,460.25,23179.0
2013-12-18,465.0,470.0,451.0,458.5,21594.0
2013-12-19,460.0,468.75,450.5,460.75,8482.0
2013-12-20,464.0,464.0,457.75,460.0,14657.0
2013-12-23,465.0,470.0,459.25,460.25,34006.0
2013-12-24,465.0,467.0,455.0,458.0,63412.0
2013-12-26,459.5,470.0,455.0,462.75,2929.0
2013-12-27,462.5,462.5,457.5,461.75,42559.0
2013-12-30,461.75,474.0,460.75,462.5,37555.0
2013-12-31,460.0,468.5,448.5,460.5,34409.0
2014-01-01,461.25,461.25,460.0,460.0,5020.0
2014-01-02,455.0,472.0,450.0,472.0,40179.0
2014-01-03,470.0,470.0,455.75,466.0,51984.0
2014-01-06,465.0,480.5,456.75,480.5,43429.0
2014-01-07,475.0,509.75,470.0,500.25,17995.0
2014-01-08,500.0,525.5,499.75,511.25,4114.0
2014-01-09,505.0,528.5,505.0,525.0,59631.0
2014-01-10,530.0,577.5,530.0,577.5,3670.0
2014-01-13,590.0,635.25,589.5,635.25,20861.0
2014-01-14,667.0,667.0,636.25,667.0,950.0
2014-01-15,700.25,700.25,700.25,700.25,1085.0
2014-01-16,735.25,735.25,735.25,735.25,329.0
2014-01-17,772.0,772.0,735.0,772.0,32523.0
2014-01-20,810.5,810.5,791.25,810.5,2806.0
2014-01-21,851.0,851.0,849.75,851.0,8144.0
2014-01-22,893.5,893.5,830.5,859.0,14697.0
2014-01-23,885.0,885.0,826.25,845.0,2094.0
2014-01-24,840.0,859.75,812.5,812.5,6924.0
2014-01-27,812.5,818.5,772.0,772.0,3909.0
2014-01-28,792.0,792.0,733.5,764.25,1078.0
2014-01-29,765.0,802.25,763.0,802.25,5974.0
2014-01-30,840.0,842.25,835.0,842.25,1006.0
2014-01-31,884.25,884.25,884.25,884.25,6465.0
2014-02-03,928.25,928.25,928.25,928.25,10321.0
2014-02-04,974.5,974.5,882.0,906.5,17044.0
2014-02-05,925.0,951.75,861.25,951.75,23401.0
2014-02-06,985.0,985.0,920.75,932.5,27334.0
2014-02-07,940.0,964.0,940.0,955.25,30411.0
2014-02-10,935.25,977.5,925.7499389648438,975.7499389648438,21526.0
2014-02-11,1017.5,1024.5,960.0,963.0,9119.0
2014-02-12,952.5,985.5,951.25,975.75,30209.0
2014-02-13,979.5,999.75,979.5,989.5,21588.0
2014-02-14,980.0,995.25,980.0,986.75,24259.0
2014-02-17,990.0,999.5,980.0,994.0,21001.0
2014-02-18,950.0,995.0,950.0,965.25,17671.0
2014-02-19,999.5,999.5,980.25,980.5,18557.0
2014-02-20,993.0,994.75,975.0,978.0,12641.0
2014-02-21,963.0,990.0,961.25,975.0,13233.0
