Date,Open,High,Low,Close,Volume
2013-12-02,9.75,9.75,9.75,9.75,26.0
2013-12-03,9.270000457763672,9.75,9.270000457763672,9.270000457763672,112.0
2013-12-04,8.8100004196167,9.270000457763672,8.8100004196167,9.270000457763672,327.0
2013-12-05,8.8100004196167,9.270000457763672,8.8100004196167,8.8100004196167,13.0
2013-12-06,8.369999885559082,8.369999885559082,8.369999885559082,8.369999885559082,25.0
2013-12-09,,,,,
2013-12-10,,,,,
2013-12-11,7.960000038146973,7.960000038146973,7.960000038146973,7.960000038146973,50.0
2013-12-12,7.570000171661377,7.570000171661377,7.570000171661377,7.570000171661377,51.0
2013-12-13,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,50.0
2013-12-16,6.849999904632568,6.849999904632568,6.849999904632568,6.849999904632568,55.0
2013-12-17,7.190000057220459,7.190000057220459,6.900000095367432,6.900000095367432,8056.0
2013-12-18,,,,,
2013-12-19,6.699999809265137,6.699999809265137,6.699999809265137,6.699999809265137,93.0
2013-12-20,,,,,
2013-12-23,,,,,
2013-12-24,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,50.0
2013-12-26,,,,,
2013-12-27,,,,,
2013-12-30,,,,,
2013-12-31,,,,,
2014-01-01,,,,,
2014-01-02,,,,,
2014-01-03,,,,,
2014-01-06,6.71999979019165,6.71999979019165,6.71999979019165,6.71999979019165,10.0
2014-01-07,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,3010.0
2014-01-08,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,95.0
2014-01-09,7.769999980926514,7.769999980926514,7.519999980926514,7.769999980926514,1908.0
2014-01-10,8.149999618530273,8.149999618530273,8.149999618530273,8.149999618530273,130.0
2014-01-13,8.550000190734863,8.550000190734863,8.300000190734863,8.550000190734863,9000.0
2014-01-14,8.300000190734863,8.970000267028809,8.210000038146973,8.970000267028809,6075.0
2014-01-15,9.40999984741211,9.40999984741211,9.399999618530273,9.399999618530273,1525.0
2014-01-16,8.9399995803833,9.869999885559082,8.9399995803833,8.9399995803833,4570.0
2014-01-17,8.899999618530273,9.369999885559082,8.899999618530273,9.369999885559082,550.0
2014-01-20,9.199999809265137,9.829999923706055,9.199999809265137,9.829999923706055,2755.0
2014-01-21,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,100.0
2014-01-22,10.399999618530273,10.399999618530273,9.699999809265137,9.699999809265137,110.0
2014-01-23,9.899999618530273,9.899999618530273,9.220000267028809,9.220000267028809,111.0
2014-01-24,8.800000190734863,8.800000190734863,8.800000190734863,8.800000190734863,25.0
2014-01-27,8.369999885559082,8.369999885559082,8.369999885559082,8.369999885559082,25.0
2014-01-28,7.960000038146973,7.960000038146973,7.960000038146973,7.960000038146973,1000.0
2014-01-29,7.570000171661377,7.570000171661377,7.570000171661377,7.570000171661377,100.0
2014-01-30,,,,,
2014-01-31,,,,,
2014-02-03,,,,,
2014-02-04,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,3.0
2014-02-05,,,,,
2014-02-06,,,,,
2014-02-07,,,,,
2014-02-10,,,,,
2014-02-11,7.420000076293945,7.420000076293945,7.420000076293945,7.420000076293945,300.0
2014-02-12,7.789999961853027,7.789999961853027,7.789999961853027,7.789999961853027,1200.0
2014-02-13,,,,,
2014-02-14,,,,,
2014-02-17,,,,,
2014-02-18,7.789999961853027,7.789999961853027,7.789999961853027,7.789999961853027,12.0
2014-02-19,8.170000076293945,8.170000076293945,8.170000076293945,8.170000076293945,18.0
2014-02-20,8.569999694824219,8.569999694824219,8.550000190734863,8.569999694824219,925.0
2014-02-21,8.989999771118164,8.989999771118164,8.989999771118164,8.989999771118164,75.0
2014-02-24,9.0,9.430000305175781,9.0,9.430000305175781,135.0
2014-02-25,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,1000.0
2014-02-26,10.390000343322754,10.390000343322754,10.390000343322754,10.390000343322754,5000.0
2014-02-27,,,,,
2014-02-28,10.850000381469727,10.850000381469727,10.800000190734863,10.800000190734863,56.0
2014-03-03,,,,,
2014-03-04,,,,,
2014-03-05,11.34000015258789,11.34000015258789,11.34000015258789,11.34000015258789,9741.0
2014-03-06,10.779999732971191,11.75,10.779999732971191,11.75,3965.0
2014-03-07,,,,,
2014-03-10,,,,,
2014-03-11,,,,,
2014-03-12,,,,,
2014-03-13,,,,,
2014-03-14,,,,,
2014-03-17,,,,,
2014-03-18,,,,,
2014-03-19,,,,,
2014-03-20,,,,,
2014-03-21,,,,,
2014-03-22,,,,,
2014-03-24,,,,,
2014-03-25,,,,,
2014-03-26,,,,,
2014-03-27,,,,,
2014-03-28,,,,,
2014-03-31,,,,,
2014-04-01,11.170000076293945,11.170000076293945,11.170000076293945,11.170000076293945,4.0
2014-04-02,10.619999885559082,10.619999885559082,10.619999885559082,10.619999885559082,100.0
2014-04-03,11.100000381469727,11.100000381469727,11.100000381469727,11.100000381469727,20.0
2014-04-04,10.550000190734863,10.550000190734863,10.550000190734863,10.550000190734863,250.0
2014-04-07,,,,,
2014-04-08,,,,,
2014-04-09,,,,,
2014-04-10,,,,,
2014-04-11,,,,,
