Date,Open,High,Low,Close,Volume
2013-12-02,1.0,1.0,1.0,1.0,1.0
2013-12-03,1.0,1.0,1.0,1.0,1.0
2013-12-04,1.0,1.0,1.0,1.0,1.0
2013-12-05,1.0,1.0,1.0,1.0,1.0
2013-12-06,1.0,1.0,1.0,1.0,1.0
2013-12-09,1.0,1.0,1.0,1.0,1.0
2013-12-10,1.0,1.0,1.0,1.0,1.0
2013-12-11,1.0,1.0,1.0,1.0,1.0
2013-12-12,1.0,1.0,1.0,1.0,1.0
2013-12-13,1.0,1.0,1.0,1.0,1.0
2013-12-16,1.0,1.0,1.0,1.0,1.0
2013-12-17,1.0,1.0,1.0,1.0,1.0
2013-12-18,1.0,1.0,1.0,1.0,1.0
2013-12-19,1.0,1.0,1.0,1.0,1.0
2013-12-20,1.0,1.0,1.0,1.0,1.0
2013-12-23,1.0,1.0,1.0,1.0,1.0
2013-12-24,1.0,1.0,1.0,1.0,1.0
2013-12-26,1.0,1.0,1.0,1.0,1.0
2013-12-27,1.0,1.0,1.0,1.0,1.0
2013-12-30,1.0,1.0,1.0,1.0,1.0
2013-12-31,1.0,1.0,1.0,1.0,1.0
2014-01-01,1.0,1.0,1.0,1.0,1.0
2014-01-02,1.0,1.0,1.0,1.0,1.0
2014-01-03,1.0,1.0,1.0,1.0,1.0
2014-01-06,1.0,1.0,1.0,1.0,1.0
2014-01-07,1.0,1.0,1.0,1.0,1.0
2014-01-08,1.0,1.0,1.0,1.0,1.0
2014-01-09,1.0,1.0,1.0,1.0,1.0
2014-01-10,1.0,1.0,1.0,1.0,1.0
2014-01-13,1.0,1.0,1.0,1.0,1.0
2014-01-14,1.0,1.0,1.0,1.0,1.0
2014-01-15,1.0,1.0,1.0,1.0,1.0
2014-01-16,1.0,1.0,1.0,1.0,1.0
2014-01-17,1.0,1.0,1.0,1.0,1.0
2014-01-20,1.0,1.0,1.0,1.0,1.0
2014-01-21,1.0,1.0,1.0,1.0,1.0
2014-01-22,1.0,1.0,1.0,1.0,1.0
2014-01-23,1.0,1.0,1.0,1.0,1.0
2014-01-24,1.0,1.0,1.0,1.0,1.0
2014-01-27,1.0,1.0,1.0,1.0,1.0
2014-01-28,1.0,1.0,1.0,1.0,1.0
2014-01-29,1.0,1.0,1.0,1.0,1.0
2014-01-30,1.0,1.0,1.0,1.0,1.0
2014-01-31,1.0,1.0,1.0,1.0,1.0
2014-02-03,1.0,1.0,1.0,1.0,1.0
2014-02-04,1.0,1.0,1.0,1.0,1.0
2014-02-05,1.0,1.0,1.0,1.0,1.0
2014-02-06,1.0,1.0,1.0,1.0,1.0
2014-02-07,1.0,1.0,1.0,1.0,1.0
2014-02-10,1.0,1.0,1.0,1.0,1.0
2014-02-11,1.0,1.0,1.0,1.0,1.0
2014-02-12,1.0,1.0,1.0,1.0,1.0
2014-02-13,1.0,1.0,1.0,1.0,1.0
2014-02-14,1.0,1.0,1.0,1.0,1.0
2014-02-17,1.0,1.0,1.0,1.0,1.0
2014-02-18,1.0,1.0,1.0,1.0,1.0
2014-02-19,1.0,1.0,1.0,1.0,1.0
