Date,Open,High,Low,Close,Volume
2013-12-02,23.0,23.0,23.0,23.0,0.0
2013-12-03,23.0,23.0,23.0,23.0,0.0
2013-12-04,23.0,23.0,23.0,23.0,0.0
2013-12-05,23.0,23.0,23.0,23.0,0.0
2013-12-06,23.0,23.0,23.0,23.0,0.0
2013-12-09,23.0,23.0,23.0,23.0,0.0
2013-12-10,23.0,23.0,23.0,23.0,0.0
2013-12-11,23.0,23.0,23.0,23.0,0.0
2013-12-12,23.0,23.0,23.0,23.0,0.0
2013-12-13,23.0,23.0,23.0,23.0,0.0
2013-12-16,23.0,23.0,23.0,23.0,0.0
2013-12-17,23.0,23.0,23.0,23.0,0.0
2013-12-18,23.0,23.0,23.0,23.0,0.0
2013-12-19,23.0,23.0,23.0,23.0,0.0
2013-12-20,23.0,23.0,23.0,23.0,0.0
2013-12-23,23.0,23.0,23.0,23.0,0.0
2013-12-24,23.0,23.0,23.0,23.0,0.0
2013-12-26,23.0,23.0,23.0,23.0,0.0
2013-12-27,23.0,23.0,23.0,23.0,0.0
2013-12-30,23.0,23.0,23.0,23.0,0.0
2013-12-31,23.0,23.0,23.0,23.0,0.0
2014-01-01,23.0,23.0,23.0,23.0,0.0
2014-01-02,23.0,23.0,23.0,23.0,0.0
2014-01-03,23.0,23.0,23.0,23.0,0.0
2014-01-06,23.0,23.0,23.0,23.0,0.0
2014-01-07,23.0,23.0,23.0,23.0,0.0
2014-01-08,23.0,23.0,23.0,23.0,0.0
2014-01-09,23.0,23.0,23.0,23.0,0.0
2014-01-10,23.0,23.0,23.0,23.0,0.0
2014-01-13,23.0,23.0,23.0,23.0,0.0
2014-01-14,23.0,23.0,23.0,23.0,0.0
2014-01-15,23.0,23.0,23.0,23.0,0.0
2014-01-16,23.0,23.0,23.0,23.0,0.0
2014-01-17,23.0,23.0,23.0,23.0,0.0
2014-01-20,23.0,23.0,23.0,23.0,0.0
2014-01-21,23.0,23.0,23.0,23.0,0.0
2014-01-22,23.0,23.0,23.0,23.0,0.0
2014-01-23,23.0,23.0,23.0,23.0,0.0
2014-01-24,23.0,23.0,23.0,23.0,0.0
2014-01-27,23.0,23.0,23.0,23.0,0.0
2014-01-28,23.0,23.0,23.0,23.0,0.0
2014-01-29,23.0,23.0,23.0,23.0,0.0
2014-01-30,23.0,23.0,23.0,23.0,0.0
2014-01-31,23.0,23.0,23.0,23.0,0.0
2014-02-03,23.0,23.0,23.0,23.0,0.0
2014-02-04,23.0,23.0,23.0,23.0,0.0
2014-02-05,23.0,23.0,23.0,23.0,0.0
2014-02-06,23.0,23.0,23.0,23.0,0.0
2014-02-07,23.0,23.0,23.0,23.0,0.0
2014-02-10,23.0,23.0,23.0,23.0,0.0
2014-02-11,23.0,23.0,23.0,23.0,0.0
2014-02-12,23.0,23.0,23.0,23.0,0.0
2014-02-13,23.0,23.0,23.0,23.0,0.0
2014-02-14,23.0,23.0,23.0,23.0,0.0
2014-02-17,23.0,23.0,23.0,23.0,0.0
2014-02-18,23.0,23.0,23.0,23.0,0.0
2014-02-19,23.0,23.0,23.0,23.0,0.0
2014-02-20,23.0,23.0,23.0,23.0,0.0
2014-02-21,23.0,23.0,23.0,23.0,0.0
2014-02-24,23.0,23.0,23.0,23.0,0.0
2014-02-25,23.0,23.0,23.0,23.0,0.0
2014-02-26,23.0,23.0,23.0,23.0,0.0
2014-02-27,,,,,
2014-02-28,23.0,23.0,23.0,23.0,0.0
2014-03-03,23.0,23.0,23.0,23.0,0.0
2014-03-04,23.0,23.0,23.0,23.0,0.0
2014-03-05,23.0,23.0,23.0,23.0,0.0
2014-03-06,23.0,23.0,23.0,23.0,0.0
2014-03-07,23.0,23.0,23.0,23.0,0.0
2014-03-10,23.0,23.0,23.0,23.0,0.0
2014-03-11,23.0,23.0,23.0,23.0,0.0
2014-03-12,23.0,23.0,23.0,23.0,0.0
2014-03-13,23.0,23.0,23.0,23.0,0.0
2014-03-14,23.0,23.0,23.0,23.0,0.0
2014-03-17,,,,,
2014-03-18,22.0,22.0,22.0,22.0,1.0
2014-03-19,22.0,22.0,22.0,22.0,0.0
2014-03-20,22.0,22.0,22.0,22.0,0.0
2014-03-21,22.0,22.0,22.0,22.0,0.0
2014-03-24,22.0,22.0,22.0,22.0,0.0
2014-03-25,22.0,22.0,22.0,22.0,0.0
2014-03-26,22.0,22.0,22.0,22.0,0.0
2014-03-27,22.0,22.0,22.0,22.0,0.0
2014-03-28,22.0,22.0,22.0,22.0,0.0
2014-03-31,22.0,22.0,22.0,22.0,0.0
2014-04-01,22.0,22.0,22.0,22.0,0.0
2014-04-02,22.0,22.0,22.0,22.0,0.0
2014-04-03,22.0,22.0,22.0,22.0,0.0
2014-04-04,22.0,22.0,22.0,22.0,1.0
2014-04-07,22.0,22.0,22.0,22.0,0.0
2014-04-08,,,,,
